popularity,loudness,instrumentalness,danceability,audio_valence,liveness,acousticness,tempo
72,-4.505,1.19e-06,0.8809999999999999,0.858,0.154,0.0175,107.891
76,-8.926,0.0,0.535,0.495,0.0923,0.0393,99.935
81,-4.674,0.0,0.868,0.67,0.284,0.303,88.641
76,-13.064,2.39e-06,0.845,0.74,0.114,0.29,95.265
76,-7.34,0.0121,0.645,0.6659999999999999,0.119,0.0562,90.565
71,-10.016,7.58e-06,0.608,0.602,0.108,0.602,100.22
74,-11.782,0.0177,0.418,0.352,0.0896,0.0718,87.773
72,-13.925,0.000679,0.42,0.175,0.0677,0.245,157.143
77,-8.072000000000001,7.97e-06,0.315,0.497,0.0942,0.00125,155.925
78,-6.542000000000001,1.42e-06,0.581,0.779,0.246,0.211,141.607
77,-7.843999999999999,0.0,0.475,0.648,0.161,0.183,94.605
75,-8.74,0.000149,0.547,0.654,0.285,8.14e-05,119.576
72,-7.902,0.0,0.42,0.476,0.108,0.0067,168.019
74,-4.236000000000001,0.0,0.531,0.8140000000000001,0.231,0.0175,97.546
80,-4.763999999999999,0.0,0.439,0.695,0.547,0.0122,148.599
74,-7.345,7.4e-05,0.77,0.757,0.0777,0.311,171.798
78,-5.162000000000001,0.0,0.3829999999999999,0.138,0.248,0.165,121.154
73,-4.626,2.15e-06,0.537,0.211,0.0998,0.2,124.269
75,-7.902,0.0,0.64,0.951,0.375,0.0646,111.87
76,-6.5760000000000005,0.0,0.64,0.7,0.123,0.00832,102.026
74,-10.71,2.1e-06,0.5429999999999999,0.836,0.0565,0.00162,103.731
75,-5.483,1.66e-06,0.486,0.281,0.155,0.0237,92.757
72,-9.039,0.00277,0.701,0.723,0.0657,0.00106,107.533
77,-5.1770000000000005,0.0,0.851,0.807,0.0827,0.151,131.922
75,-5.357,0.0,0.618,0.711,0.0875,0.171,113.961
73,-2.757,0.0,0.494,0.741,0.3979999999999999,0.00129,103.408
75,-9.342,5.09e-05,0.389,0.5660000000000001,0.255,0.619,148.11700000000002
80,-9.734,0.0,0.561,0.497,0.114,0.16,134.369
73,-4.808,0.1989999999999999,0.467,0.701,0.299,0.000479,145.92
72,-4.063,8.85e-05,0.617,0.57,0.179,0.36,94.676
83,-5.881,0.0,0.731,0.78,0.0829,0.0319,104.034
79,-5.683,5.61e-06,0.291,0.513,0.0811,0.00133,155.667
77,-14.918,4.8700000000000005e-05,0.439,0.204,0.14,0.0783,94.845
72,-4.012,7.26e-05,0.535,0.825,0.0887,0.00611,120.958
75,-4.918,0.0,0.372,0.478,0.2339999999999999,0.000453,174.53
77,-4.525,0.000101,0.516,0.728,0.105,2.8600000000000004e-05,116.775
81,-3.205,8.71e-06,0.442,0.7809999999999999,0.091,0.00293,85.064
82,-9.012,0.00359,0.299,0.306,0.368,0.0163,166.96
75,-10.319,0.0109,0.619,0.777,0.331,0.00165,129.267
74,-5.721,0.000948,0.505,0.541,0.0855,0.000182,119.987
71,-7.595,0.0,0.488,0.706,0.359,0.0204,104.56
83,-13.496,0.000105,0.5589999999999999,0.4579999999999999,0.141,0.0576,84.581
77,-6.903,0.0071,0.674,0.918,0.0754,0.00178,129.804
79,-4.215,0.0,0.466,0.6609999999999999,0.0327,0.0266,88.785
78,-5.54,0.00031,0.412,0.356,0.0805,5.96e-05,158.066
76,-9.896,0.588,0.765,0.964,0.0513,0.0166,126.879
78,-5.325,6.95e-05,0.354,0.16,0.0758,0.0002029999999999,105.495
74,-10.78,0.000636,0.3389999999999999,0.0948,0.372,0.921,101.213
74,-7.521,6.78e-06,0.635,0.4589999999999999,0.071,0.00328,76.098
73,-5.053,0.00352,0.214,0.483,0.238,0.000552,170.616
72,-7.981,2.4e-05,0.305,0.585,0.091,0.000332,100.677
87,-5.199,0.0,0.74,0.536,0.184,0.0445,122.007
73,-9.343,1.4300000000000002e-05,0.5539999999999999,0.281,0.0686,0.0632,100.017
94,-5.412999999999999,1.3699999999999998e-05,0.568,0.364,0.213,0.0211,100.049
86,-8.322000000000001,0.0,0.6859999999999999,0.718,0.105,0.595,150.953
75,-8.39,3.16e-06,0.69,0.562,0.17,0.0415,164.023
76,-4.7,0.0261,0.746,0.8909999999999999,0.0534,0.0485,107.231
87,-6.557,0.0,0.55,0.2739999999999999,0.108,0.161,172.065
90,-3.149,0.0,0.531,0.456,0.0773,0.288,94.419
83,-5.658,2.38e-06,0.755,0.642,0.0628,0.314,114.966
79,-12.151,0.1119999999999999,0.7509999999999999,0.902,0.0467,0.2339999999999999,167.058
93,-4.7330000000000005,0.0,0.672,0.754,0.242,0.286,115.741
75,-5.9670000000000005,0.0,0.7959999999999999,0.754,0.0646,0.69,105.031
72,-7.582999999999999,0.0,0.691,0.5479999999999999,0.109,0.892,89.99
74,-7.056,0.0,0.621,0.434,0.0925,0.168,97.456
73,-4.381,0.0,0.603,0.354,0.0545,0.452,111.989
73,-10.319,0.0134,0.759,0.134,0.25,0.0488,92.02
72,-7.275,0.00211,0.575,0.843,0.0562,0.0916,117.399
76,-5.82,0.0002319999999999,0.5770000000000001,0.6629999999999999,0.249,0.159,176.75
77,-4.813,0.0,0.743,0.545,0.287,0.0188,110.015
71,-4.697,0.0,0.523,0.325,0.153,0.0112,135.115
79,-6.964,1.76e-06,0.526,0.421,0.0692,0.023,99.982
72,-3.5210000000000004,0.000365,0.517,0.416,0.108,0.0014,94.016
81,-4.481,0.0,0.652,0.475,0.0722,0.293,114.033
75,-3.458,0.0,0.598,0.942,0.168,0.113,202.039
91,-7.979,0.0,0.826,0.5429999999999999,0.0965,0.071,98.056
85,-4.921,0.0,0.917,0.441,0.195,0.0403,143.03799999999998
89,-5.327000000000001,0.0,0.757,0.914,0.192,0.0716,132.064
87,-8.677,0.0,0.754,0.423,0.193,0.073,128.981
90,-4.882,0.00114,0.738,0.319,0.163,0.268,146.067
91,-8.645,0.0,0.892,0.599,0.371,0.0989,105.814
92,-4.393,0.0,0.855,0.49,0.109,0.371,122.078
99,-8.304,0.0,0.901,0.3289999999999999,0.259,0.0114,104.053
97,-6.442,0.00294,0.669,0.273,0.146,0.0175,120.013
80,-5.612,0.0,0.39,0.213,0.291,0.00606,175.89
81,-5.924,0.0,0.853,0.496,0.267,0.129,86.04799999999999
82,-7.096,0.0,0.877,0.376,0.0933,0.0152,99.977
90,-4.296,0.0,0.733,0.8320000000000001,0.162,0.13,149.989
88,-6.571000000000001,3.4e-06,0.785,0.144,0.1159999999999999,0.283,128.047
83,-5.558,3.62e-06,0.715,0.289,0.186,0.1,176.108
91,-4.589,0.0,0.765,0.498,0.2269999999999999,0.0215,147.055
91,-7.622000000000001,0.0,0.6990000000000001,0.493,0.1159999999999999,0.462,79.992
88,-3.321,0.0,0.902,0.746,0.106,0.0414,89.0
88,-2.806,0.0,0.792,0.742,0.183,0.107,150.024
91,-6.962000000000001,0.0,0.9,0.3989999999999999,0.528,0.0945,112.503
81,-3.833,0.0,0.8540000000000001,0.7040000000000001,0.1689999999999999,0.0263,145.976
91,-8.152000000000001,0.0816,0.85,0.294,0.1,0.0609,80.02
78,-4.853,0.0,0.7959999999999999,0.565,0.268,0.0886,164.93200000000002
81,-10.615,5.84e-05,0.759,0.244,0.406,0.223,126.972
97,-3.714,0.0,0.8340000000000001,0.446,0.124,0.00513,155.00799999999998
96,-4.884,0.0,0.8759999999999999,0.575,0.127,0.0627,153.06799999999998
82,-4.134,0.0,0.855,0.7020000000000001,0.1939999999999999,0.313,88.00299999999999
90,-4.963,0.0,0.85,0.718,0.155,0.0367,145.063
80,-7.249,0.0,0.7609999999999999,0.447,0.0839,0.128,173.89700000000002
74,-2.39,0.0,0.665,0.32,0.122,0.228,139.94299999999998
96,-9.127,0.0,0.931,0.376,0.136,0.088,125.978
76,-7.653,0.0,0.775,0.585,0.127,0.0157,137.032
77,-3.532,0.00182,0.73,0.647,0.322,0.1989999999999999,129.952
87,-6.162000000000001,0.0,0.879,0.723,0.716,0.033,117.975
79,-5.093,0.0,0.921,0.8009999999999999,0.0798,0.00908,139.97899999999998
88,-3.746,0.0,0.904,0.342,0.3389999999999999,0.0692,140.005
71,-7.343,0.0,0.515,0.312,0.126,0.6890000000000001,135.739
72,-8.788,0.0,0.631,0.708,0.0994,0.291,97.959
72,-10.479,0.0,0.5489999999999999,0.506,0.1169999999999999,0.732,76.028
71,-6.728,0.0,0.764,0.502,0.747,0.407,101.759
78,-18.515,7.070000000000001e-05,0.266,0.143,0.132,0.905,181.74
77,-13.262,0.0,0.315,0.436,0.7020000000000001,0.7709999999999999,172.638
73,-9.094,0.0,0.637,0.487,0.1639999999999999,0.873,97.423
71,-8.468,0.0,0.455,0.324,0.685,0.861,176.03599999999997
86,-7.365,0.0,0.5870000000000001,0.356,0.123,0.779,94.992
87,-6.362,0.0,0.5720000000000001,0.3229999999999999,0.231,0.371,95.799
